year,industry1,industry2,industry3,occupation1,job_vacancy
1998,total,total,total,total,18300
1998,total,total,total,"professional, managers, executive and technicians",4900
1998,total,total,total,"clerical, sales and services workers",6000
1998,total,total,total,"production and transport operators, cleaners and labourers",7400
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,200
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",-
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",100
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",100
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,total,400
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,"professional, managers, executive and technicians",-
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,"clerical, sales and services workers",-
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,"production and transport operators, cleaners and labourers",400
1998,manufacturing,paper products and publishing,paper products and publishing,total,200
1998,manufacturing,paper products and publishing,paper products and publishing,"professional, managers, executive and technicians",-
1998,manufacturing,paper products and publishing,paper products and publishing,"clerical, sales and services workers",-
1998,manufacturing,paper products and publishing,paper products and publishing,"production and transport operators, cleaners and labourers",100
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,total,200
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,"professional, managers, executive and technicians",100
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,"clerical, sales and services workers",-
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,"production and transport operators, cleaners and labourers",100
1998,manufacturing,rubber and plastic products,rubber and plastic products,total,300
1998,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",-
1998,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",-
1998,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",200
1998,manufacturing,fabricated metal products,fabricated metal products,total,400
1998,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",100
1998,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",-
1998,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",300
1998,manufacturing,machinery and equipment,machinery and equipment,total,600
1998,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",100
1998,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",-
1998,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",500
1998,manufacturing,electrical products,electrical products,total,100
1998,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",-
1998,manufacturing,electrical products,electrical products,"clerical, sales and services workers",-
1998,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",-
1998,manufacturing,electronic products,electronic products,total,1600
1998,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",600
1998,manufacturing,electronic products,electronic products,"clerical, sales and services workers",100
1998,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",900
1998,manufacturing,medical and precision instruments,medical and precision instruments,total,100
1998,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",100
1998,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",-
1998,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",-
1998,manufacturing,transport equipment,transport equipment,total,900
1998,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",200
1998,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",100
